metascore,rotten_tomatoes_rating,meta_critic_rating,budget,metascore_missing,rotten_tomatoes_rating_missing,meta_critic_rating_missing,budget_missing,total_wins,total_noms,oscar_wins,oscar_noms,bafta_wins,bafta_noms,release_date,release_year,release_month,release_day,is_weekend,is_holiday_season,movie_age,production_country_name,spoken_languages,first_billing_actor,second_billing_actor,third_billing_actor,main_director,main_writer,secondary_writer,imdb_rating,imdb_votes,title,tmdb_vote_count,tmdb_vote_average,genre_names,runtime_in_min,tmdb_popularity,production_company_name,age_rating
11.497722176512603,65.83924316226033,11.761431357862678,18000000.0,1,1,1,0,1,7,0,0,0,0,2000-10-06,2000,10,6,1,0,25,"Others,France,Germany,United Kingdom","Others,French,Spanish",Nis Bank-Mikkelsen,Søren Sætter-Lassen,Morten Kerrn Nielsen,Stefan Fjeldmark,Tracy J. Brown,Stefan Fjeldmark,6.0,7523.0,Help! I'm a Fish,424,6.7,"Adventure, Animation, Comedy, Family, Drama",80.0,12.358,"TV 2, A. Film Production, Egmont Imagination, Irish Film Industry, Eurimages, HanWay Films",Not Rated
65.0,81.0,65.0,800000.0,0,0,0,0,1,6,0,0,0,0,2009-09-12,2009,9,12,1,0,16,United Kingdom,English,Gemma Arterton,Eddie Marsan,Martin Compston,J Blakeson,J Blakeson,Missing_data,6.7,27863.0,The Disappearance of Alice Creed,544,6.5,"Crime, Drama, Thriller",100.0,9.318,"CinemaNX, Isle of Man Film",R
52.0,39.0,52.0,35000000.0,0,0,0,0,1,11,0,0,0,0,2006-06-16,2006,6,16,1,1,19,"Germany,United States of America","Spanish,English",Jack Black,Ana de la Reguera,Héctor Jiménez,Jared Hess,Jared Hess,Jerusha Hess,5.9,96042.0,Nacho Libre,1661,6.482,"Comedy, Family, Drama",92.0,25.751,"Paramount Pictures, Nickelodeon Movies, Black & White Productions, MP Inka",PG
75.0,88.0,75.0,1800000.0,0,0,0,0,10,13,0,0,0,0,2021-10-08,2021,10,8,1,0,4,"France,Others","English,Others",Sofia Kappel,Zelda Morrison,Evelyn Claire,Ninja Thyberg,Ninja Thyberg,Peter Modestij,6.3,23805.0,Pleasure,591,6.207,Drama,108.0,184.605,"Film i Väst, Flamboyance Films, Lemming Film, Plattform Produktion, SVT, Logical Pictures, Grand Slam Film Production, SF Studios",R
31.0,8.0,31.0,51000000.0,0,0,0,0,1,2,0,0,0,0,1999-11-05,1999,11,5,1,1,26,United States of America,English,Chris O'Donnell,Renée Zellweger,Artie Lange,Gary Sinyor,Roi Cooper Megrue,Jean C. Havez,5.1,19198.0,The Bachelor,311,5.182,"Comedy, Romance",101.0,8.983,"George Street Pictures, New Line Cinema, The Lloyd Segan Company",PG-13
58.0,47.0,58.0,20735191.54238048,0,0,0,1,6,9,0,0,0,0,2013-02-22,2013,2,22,1,0,12,United States of America,"Italian,English,Spanish,French",Ben Affleck,Olga Kurylenko,Javier Bardem,Terrence Malick,Terrence Malick,Missing_data,5.8,30225.0,To the Wonder,490,5.8,"Drama, Romance",112.0,12.64,"Brothers K Productions, Redbud Pictures, FilmNation Entertainment",R
28.0,22.0,28.0,29000000.0,0,0,0,0,0,6,0,0,0,0,1999-09-02,1999,9,2,0,0,26,United States of America,"Spanish,English,Others",Patricia Arquette,Gabriel Byrne,Jonathan Pryce,Rupert Wainwright,Tom Lazarus,Rick Ramage,6.2,74060.0,Stigmata,1105,6.258,"Horror, Thriller, Fantasy",103.0,12.531,"FGM Entertainment, Metro-Goldwyn-Mayer",R
65.0,83.0,65.0,27000000.0,0,0,0,0,2,9,2,2,0,0,1991-12-06,1991,12,6,1,1,34,United States of America,English,William Shatner,Leonard Nimoy,DeForest Kelley,Nicholas Meyer,Gene Roddenberry,Leonard Nimoy,7.2,82586.0,Star Trek VI: The Undiscovered Country,1278,7.0,"Science Fiction, Action, Adventure, Thriller",113.0,14.827,Paramount Pictures,PG
29.0,13.0,29.0,45000000.0,0,0,0,0,3,5,0,0,0,0,2001-07-04,2001,7,4,0,1,24,"Canada,United States of America",English,Anna Faris,Marlon Wayans,Antony Acker,Keenen Ivory Wayans,Shawn Wayans,Marlon Wayans,5.4,181299.0,Scary Movie 2,4712,5.804,Comedy,82.0,48.481,"Brad Grey Pictures, Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films",R
36.0,10.0,36.0,62000000.0,0,0,0,0,0,5,0,0,0,0,2005-11-30,2005,11,30,0,1,20,"United States of America,Germany",English,Charlize Theron,Frances McDormand,Sophie Okonedo,Karyn Kusama,Phil Hay,Matt Manfredi,5.4,134366.0,Æon Flux,2248,5.6,"Science Fiction, Action, Thriller",93.0,23.982,"Paramount Pictures, Lakeshore Entertainment, Valhalla Motion Pictures, MTV Films, (Colossal) Pictures",PG-13
61.0,92.0,61.0,10000000.0,0,0,0,0,0,0,0,0,0,0,1982-03-05,1982,3,5,1,0,43,United Kingdom,"French,English,German",Peter Ustinov,James Mason,Maggie Smith,Guy Hamilton,Agatha Christie,Anthony Shaffer,7.0,21981.0,Evil Under the Sun,443,6.9,"Thriller, Crime, Mystery, Drama",117.0,11.148,"EMI Films, G.W. Films, Titan Productions, Agatha Christie Limited",PG
34.0,29.0,34.0,25752392.109470017,0,0,0,1,1,2,0,0,0,0,2020-09-30,2020,9,30,0,0,5,"Others,United Kingdom","Others,English",Jackie Chan,Yang Yang,Lun Ai,Stanley Tong,Stanley Tong,Tiffany Tong,4.7,6889.0,Vanguard,547,6.3,"Comedy, Thriller, Action, Adventure",107.0,20.61,"China Film (Shanghai) International Media Co., China Film Group Corporation, Epitome Capital, Shanghai Lix Entertainment, Shenzhen Media Film & Television, Tencent Pictures, One Cool Pictures, India Film Services, Huayu International Entertainment, JP Media Limited, Dexter Studios, Golden Network Asia",PG-13
72.0,92.0,72.0,90000000.0,0,0,0,0,17,21,17,1,0,0,1998-06-18,1998,6,18,0,1,27,United States of America,"English,Others",Ming-Na Wen,Eddie Murphy,BD Wong,Tony Bancroft,Robert D. San Souci,Rita Hsiao,7.7,327679.0,Mulan,9810,7.9,"Animation, Family, Adventure",88.0,84.413,"Walt Disney Pictures, Walt Disney Feature Animation",G
30.0,20.0,30.0,40000000.0,0,0,0,0,1,0,0,0,0,0,2017-06-29,2017,6,29,0,1,8,United States of America,English,Will Ferrell,Amy Poehler,Ryan Simpkins,Andrew Jay Cohen,Brendan O'Brien,Andrew Jay Cohen,5.6,48372.0,The House,911,5.627,Comedy,88.0,12.7,"Village Roadshow Pictures, New Line Cinema, Gary Sanchez Productions, Good Universe",R
72.0,95.0,72.0,3000000.0,0,0,0,0,3,11,0,0,0,0,1988-10-01,1988,10,1,1,0,37,United States of America,English,Winona Ryder,Christian Slater,Shannen Doherty,Michael Lehmann,Daniel Waters,Missing_data,7.2,119870.0,Heathers,1721,7.3,"Comedy, Crime",103.0,20.946,"New World Pictures, Cinemarque Entertainment",R
63.0,79.0,63.0,30000000.0,0,0,0,0,14,20,0,0,0,0,2017-07-26,2017,7,26,0,1,8,"Germany,Others,United States of America","Others,English,German",Charlize Theron,James McAvoy,John Goodman,David Leitch,Kurt Johnstad,Antony Johnston,6.7,211841.0,Atomic Blonde,6256,6.43,"Action, Adventure, Thriller",115.0,38.505,"Focus Features, Denver & Delilah Productions, 87Eleven, Sierra/Affinity, Closed on Mondays Entertainment, TGIM Films, Film i Väst",R
10.914941988214398,56.0,11.076097217710428,21924949.805672538,1,0,1,1,0,3,0,0,0,0,1996-03-08,1996,3,8,1,0,29,"Canada,United States of America",English,Michael J. Fox,Sally Field,Ralph Waite,David R. Ellis,Chris Hauty,Julie Hickson,5.9,16566.0,Homeward Bound II: Lost in San Francisco,477,6.6,"Adventure, Comedy, Drama, Family",89.0,9.607,Walt Disney Pictures,G
12.276237131610344,92.39561289998197,12.404851510104779,2000000.0,1,1,1,0,7,22,0,0,0,0,2014-02-06,2014,2,6,0,0,11,Others,Italian,Edoardo Leo,Valeria Solarino,Valerio Aprea,Sydney Sibilia,Valerio Attanasio,Sydney Sibilia,7.0,9764.0,I Can Quit Whenever I Want,1799,7.4,Comedy,100.0,6.543,"Ascent Film, Fandango, RAI Cinema",Not Rated
10.92083168382034,65.62316737158135,11.053289254169366,7500000.0,1,1,1,0,1,0,0,0,0,0,1995-12-13,1995,12,13,0,1,30,France,French,Didier Bourdon,Bernard Campan,Pascal Légitimus,Didier Bourdon,Didier Bourdon,Bernard Campan,7.2,7607.0,The Three Brothers,750,6.9,Comedy,105.0,7.322,"Prima Films, Renn Productions, Canal+",R
42.0,27.0,42.0,6000000.0,0,0,0,0,1,0,0,0,0,0,2018-05-05,2018,5,5,1,0,7,United States of America,English,Gabrielle Union,Billy Burke,Richard Cabral,James McTeigue,Ryan Engle,Jaime Primak Sullivan,5.5,17296.0,Breaking In,665,5.991,"Thriller, Crime, Action",88.0,10.863,"Will Packer Productions, Breaking In Pictures",PG-13
59.0,52.0,59.0,65000000.0,0,0,0,0,14,33,14,3,0,0,2014-12-25,2014,12,25,0,1,11,United States of America,"Italian,English,Others",Jack O'Connell,Miyavi,Domhnall Gleeson,Angelina Jolie,Joel Coen,Ethan Coen,7.2,187831.0,Unbroken,4141,7.43,"Drama, War",137.0,18.14,"Legendary Pictures, Jolie Pas, 3 Arts Entertainment",PG-13
85.0,97.0,85.0,13000000.0,0,0,0,0,14,17,14,4,0,0,1989-10-13,1989,10,13,1,0,36,United States of America,English,Jeff Bridges,Michelle Pfeiffer,Beau Bridges,Steve Kloves,Steve Kloves,Missing_data,6.9,26169.0,The Fabulous Baker Boys,335,6.6,"Comedy, Drama, Music, Romance",114.0,10.211,"Tobis, Gladden Entertainment, Mirage, 20th Century Fox",R
91.0,96.0,91.0,50000000.0,0,0,0,0,35,89,35,0,0,0,2023-07-14,2023,7,14,1,1,2,Others,Others,Soma Santoki,Masaki Suda,Kô Shibasaki,Hayao Miyazaki,Hayao Miyazaki,Missing_data,7.4,87143.0,The Boy and the Heron,2013,7.4,"Animation, Adventure, Fantasy, Family, Drama",124.0,75.57,Studio Ghibli,PG-13
45.0,34.0,45.0,52000000.0,0,0,0,0,3,5,0,0,0,0,2006-06-01,2006,6,1,0,1,19,United States of America,English,Jennifer Aniston,Vince Vaughn,Jon Favreau,Peyton Reed,Jeremy Garelick,Jay Lavender,5.8,140514.0,The Break-Up,2676,5.89,"Romance, Comedy",106.0,22.827,"Universal Pictures, Mosaic Media Group, Wild West Picture Show Productions",PG-13
26.0,18.0,26.0,6000000.0,0,0,0,0,0,2,0,0,0,0,2002-03-29,2002,3,29,1,0,23,United States of America,English,Ryan Reynolds,Tara Reid,Tim Matheson,Walt Becker,Brent Goldberg,David Wagner,6.4,117276.0,National Lampoon's Van Wilder,1797,6.0,"Comedy, Romance",92.0,26.322,"Tapestry Films, Myriad Pictures, Artisan Entertainment",R
11.771287428607986,77.0,11.891380593556642,22794374.331763912,1,0,1,1,4,14,0,0,0,0,2022-03-18,2022,3,18,1,0,3,Others,Others,Hsuan-yen Tsai,Sin-Ting Huang,Ying-Hsuan Kao,Kevin Ko,Che-Wei Chang,Kevin Ko,6.2,23829.0,Incantation,684,6.8,Horror,111.0,25.972,"Monkey Movies, Moonshine Animation, Kaohsiung Film Fund",TV-MA
49.0,58.0,49.0,110000000.0,0,0,0,0,1,6,0,0,0,0,2021-09-30,2021,9,30,0,0,4,United States of America,"Spanish,English",Tom Hardy,Woody Harrelson,Michelle Williams,Andy Serkis,Kelly Marcel,Tom Hardy,5.9,275707.0,Venom: Let There Be Carnage,10486,6.781,"Science Fiction, Action, Adventure",97.0,90.893,"Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Arad Productions",PG-13
42.0,49.0,42.0,5000000.0,0,0,0,0,1,7,0,0,0,0,2002-10-25,2002,10,25,1,0,23,United States of America,English,Johnny Knoxville,Bam Margera,Chris Pontius,Jeff Tremaine,Jeff Tremaine,Spike Jonze,6.6,103618.0,Jackass: The Movie,1583,6.312,"Comedy, Documentary",85.0,14.864,"Lynch Siderow Productions, Dickhouse Productions, Paramount Pictures, MTV Films",R
45.0,29.0,45.0,31000000.0,0,0,0,0,1,0,0,0,0,0,2010-01-21,2010,1,21,0,0,15,United States of America,English,Brendan Fraser,Keri Russell,Harrison Ford,Tom Vaughan,Robert Nelson Jacobs,Geeta Anand,6.4,18020.0,Extraordinary Measures,308,6.3,Drama,105.0,7.55,"Double Feature Films, CBS Films",PG
63.0,78.0,63.0,24000000.0,0,0,0,0,0,4,0,0,0,0,2006-12-20,2006,12,20,0,1,19,United States of America,English,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,Sylvester Stallone,Sylvester Stallone,Missing_data,7.1,235955.0,Rocky Balboa,3510,6.868,Drama,102.0,34.774,"Metro-Goldwyn-Mayer, Columbia Pictures, Revolution Studios, Chartoff-Winkler Productions",PG
66.0,69.0,66.0,4300000.0,0,0,0,0,2,5,2,0,0,0,1968-06-26,1968,6,26,0,1,57,United States of America,English,Steve McQueen,Faye Dunaway,Paul Burke,Norman Jewison,Alan Trustman,Missing_data,6.9,29571.0,The Thomas Crown Affair,503,6.8,"Crime, Romance",102.0,17.114,"The Mirisch Company, Norman Jewison Productions",R
68.0,83.0,68.0,250000000.0,0,0,0,0,50,77,50,0,0,0,2021-09-29,2021,9,29,0,0,4,"United Kingdom,United States of America","Spanish,French,Others,English,Italian",Daniel Craig,Ana de Armas,Rami Malek,Cary Joji Fukunaga,Neal Purvis,Robert Wade,7.3,458134.0,No Time to Die,6397,7.369,"Action, Thriller, Adventure",163.0,53.87,"EON Productions, Metro-Goldwyn-Mayer",PG-13
59.0,78.0,59.0,35000000.0,0,0,0,0,2,6,0,0,0,0,2016-09-14,2016,9,14,0,0,9,"France,United Kingdom","English,Others",Renée Zellweger,Gemma Jones,Jim Broadbent,Sharon Maguire,Helen Fielding,Dan Mazer,6.4,84609.0,Bridget Jones's Baby,2914,6.4,"Drama, Comedy, Romance",123.0,45.302,"StudioCanal, Working Title Films",R
57.0,63.0,57.0,55000000.0,0,0,0,0,0,5,0,0,0,0,2008-04-17,2008,4,17,0,0,17,"Others,United States of America","Others,English",Jackie Chan,Jet Li,Michael Angarano,Rob Minkoff,John Fusco,Missing_data,6.5,111039.0,The Forbidden Kingdom,1725,6.6,"Action, Adventure, Fantasy",104.0,29.756,"Casey Silver Productions, China Film Co-Production Corp., Relativity Media, Lionsgate, The Weinstein Company, Arclight Films, Huayi Brothers Pictures, J&J Project, Salon Films",PG-13
53.0,41.0,53.0,31000000.0,0,0,0,0,1,0,0,0,0,0,1993-07-07,1993,7,7,0,1,32,United States of America,English,Thomas Ian Nicholas,Gary Busey,Albert Hall,Daniel Stern,Sam Harper,Missing_data,6.1,31836.0,Rookie of the Year,355,6.159,"Family, Comedy",103.0,12.217,20th Century Fox,PG
50.0,37.0,50.0,25000000.0,0,0,0,0,0,4,0,0,0,0,1994-07-01,1994,7,1,1,1,31,United States of America,English,Alec Baldwin,John Lone,Penelope Ann Miller,Russell Mulcahy,Walter B. Gibson,David Koepp,6.0,27571.0,The Shadow,524,6.1,"Fantasy, Action",108.0,11.731,"Bregman/Baer Productions, Universal Pictures",PG-13
85.0,97.0,85.0,1200000.0,0,0,0,0,14,15,14,0,0,0,1996-08-30,1996,8,30,1,0,29,United States of America,English,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,Billy Bob Thornton,Billy Bob Thornton,Missing_data,8.0,100748.0,Sling Blade,786,7.5,Drama,135.0,14.028,"Miramax, The Shooting Gallery",R
38.0,17.0,38.0,38000000.0,0,0,0,0,0,2,0,0,0,0,2003-08-15,2003,8,15,1,0,22,"Others,United States of America",English,Jackie Chan,Lee Evans,Claire Forlani,Gordon Chan,Alfred Cheung,Bennett Davlin,5.2,44690.0,The Medallion,1100,5.595,"Thriller, Fantasy, Action, Comedy",88.0,16.867,"Living Films, Emperor Multimedia Group, Golden Port Productions Ltd.",PG-13
41.0,21.0,41.0,75000000.0,0,0,0,0,3,0,0,0,0,0,2009-12-21,2009,12,21,0,1,16,United States of America,"English,French",Jason Lee,Zachary Levi,David Cross,Betty Thomas,Jon Vitti,Jonathan Aibel,4.6,56413.0,Alvin and the Chipmunks: The Squeakquel,2930,5.623,"Comedy, Family, Animation, Fantasy, Music",88.0,38.49,"Fox 2000 Pictures, Bagdasarian Productions, Regency Enterprises, 20th Century Fox, Dune Entertainment",PG
73.0,90.0,73.0,8000000.0,0,0,0,0,21,42,21,1,0,0,2012-03-29,2012,3,29,0,0,13,"Others,Germany","German,Others,English,French",Alicia Vikander,Mads Mikkelsen,Mikkel Boe Følsgaard,Nikolaj Arcel,Bodil Steensen-Leth,Rasmus Heisterberg,7.5,52088.0,A Royal Affair,881,7.4,"Drama, History, Romance",137.0,12.005,"Sirena Film, Zentropa Entertainments, DR, SVT, Film i Väst, Den Vestdanske Filmpulje",R
44.0,29.0,44.0,39000000.0,0,0,0,0,3,7,0,0,0,0,1983-06-17,1983,6,17,1,1,42,"Others,United Kingdom,United States of America","English,Italian,Spanish",Christopher Reeve,Richard Pryor,Margot Kidder,Richard Lester,Jerry Siegel,Joe Shuster,5.0,76955.0,Superman III,1720,5.5,"Comedy, Science Fiction, Action, Adventure",125.0,15.665,"Dovemead Films, Alexander and Ilya Salkind Productions",PG
10.948246866228917,67.0,11.066463613281703,4000000.0,1,0,1,0,2,3,0,0,0,0,2017-01-06,2017,1,6,1,0,8,Others,Spanish,Mario Casas,Ana Wagener,Jose Coronado,Oriol Paulo,Oriol Paulo,Lara Sendim,8.0,199881.0,The Invisible Guest,4595,8.104,"Drama, Mystery, Thriller",107.0,44.819,"Think Studio, Nostromo Pictures, Colosé Producciones, ICEC, Movistar+, TV3, Atresmedia, Orange, Cosmopolitan TV",TV-MA
90.0,88.0,90.0,8507385.515745465,0,0,0,1,5,2,0,0,0,0,1975-02-28,1975,2,28,1,0,50,"France,Others,United States of America","English,French,German,Spanish",Jack Nicholson,Maria Schneider,Jenny Runacre,Michelangelo Antonioni,Mark Peploe,Enrico Sannia,7.5,27073.0,The Passenger,493,7.3,"Drama, Mystery, Thriller",126.0,8.605,"Metro-Goldwyn-Mayer, C. C. Champion, CIPI Cinematografica S.A., Les Films Concordia",PG
40.0,26.0,40.0,70000000.0,0,0,0,0,3,5,0,0,0,0,2014-10-01,2014,10,1,0,0,11,United States of America,English,Luke Evans,Dominic Cooper,Sarah Gadon,Gary Shore,Matt Sazama,Burk Sharpless,6.2,213897.0,Dracula Untold,6128,6.429,"Horror, Action, Fantasy",92.0,20.731,"Universal Pictures, Legendary Pictures, Michael De Luca Productions",PG-13
78.0,92.0,78.0,4500000.0,0,0,0,0,5,38,0,0,0,0,2022-09-08,2022,9,8,0,0,3,United States of America,"English,Spanish",Georgina Campbell,Bill Skarsgård,Justin Long,Zach Cregger,Zach Cregger,Missing_data,7.0,212228.0,Barbarian,2587,6.8,"Horror, Mystery",103.0,28.792,"BoulderLight Pictures, Vertigo Entertainment, Regency Enterprises, Hammerstone Studios, Almost Never Films",R
46.0,29.0,46.0,29879712.02624289,0,0,0,1,0,0,0,0,0,0,1994-08-05,1994,8,5,1,0,31,United States of America,English,Brendan Fraser,Steve Buscemi,Adam Sandler,Michael Lehmann,Rich Wilkes,Missing_data,6.2,57524.0,Airheads,739,6.144,"Comedy, Crime, Music",92.0,11.141,"Robert Simonds Productions, Island World, 20th Century Fox",PG-13
11.457889158430062,67.29356987618443,11.668120787796147,12981642.330575405,1,1,1,1,7,8,0,0,0,0,2022-09-29,2022,9,29,0,0,3,Others,Italian,Silvio Orlando,Valerio Mastandrea,Elena Lietti,Paolo Virzì,Paolo Giordano,Paolo Virzì,6.2,2175.0,Dry,307,6.454,"Drama, Comedy, Science Fiction",124.0,7.531,"Vision Distribution, Wildside, Sky Italia, MiC, Regione Lazio, Flat Parioli, Sky, Sky Cinema",TV-MA
44.0,26.0,44.0,6000000.0,0,0,0,0,0,0,0,0,0,0,1999-01-22,1999,1,22,1,0,26,"Canada,United States of America","English,Spanish",Willem Dafoe,Sean Patrick Flanery,Norman Reedus,Troy Duffy,Troy Duffy,Missing_data,7.6,255185.0,The Boondock Saints,2440,7.252,"Action, Thriller, Crime",108.0,15.109,"Franchise Pictures, Brood Syndicate, B.D.S. Productions Inc., 20th Century Fox",R
43.0,67.0,43.0,20000000.0,0,0,0,0,2,10,0,0,0,0,1982-04-02,1982,4,2,1,0,43,"Others,United States of America",English,Arnold Schwarzenegger,James Earl Jones,Max von Sydow,John Milius,Robert E. Howard,John Milius,6.9,166625.0,Conan the Barbarian,2539,6.804,"Adventure, Fantasy, Action",129.0,26.763,"Universal Pictures, The De Laurentiis Company, Pressman Film, Estudios Churubusco Azteca",R
77.0,89.0,77.0,7655443.603582068,0,0,0,1,9,32,0,0,0,0,2014-04-11,2014,4,11,1,0,11,"Others,United Kingdom",English,Brendan Gleeson,Chris O'Dowd,Kelly Reilly,John Michael McDonagh,John Michael McDonagh,Missing_data,7.4,65763.0,Calvary,960,7.108,Drama,102.0,11.231,"Lipsync Productions, Octagon Films, Reprisal Films, Fís Éireann/Screen Ireland",R
46.0,53.0,46.0,20000000.0,0,0,0,0,0,0,0,0,0,0,1988-07-13,1988,7,13,0,1,37,United States of America,English,Clint Eastwood,Liam Neeson,Patricia Clarkson,Buddy Van Horn,Harry Julian Fink,Rita M. Fink,6.3,50242.0,The Dead Pool,853,6.3,"Action, Crime, Thriller",91.0,17.049,"Malpaso Productions, Warner Bros. Pictures",R
69.0,75.0,69.0,2500000.0,0,0,0,0,0,0,0,0,0,0,1971-05-20,1971,5,20,0,0,54,United States of America,English,Roddy McDowall,Kim Hunter,Bradford Dillman,Don Taylor,Paul Dehn,Pierre Boulle,6.3,42433.0,Escape from the Planet of the Apes,1099,6.374,"Action, Science Fiction",98.0,19.721,"APJAC Productions, 20th Century Fox",G
83.0,95.0,83.0,14000337.718967121,0,0,0,1,14,15,14,0,0,0,1979-12-19,1979,12,19,0,1,46,"Germany,United States of America",English,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Hal Ashby,Jerzy Kosinski,Robert C. Jones,7.9,79678.0,Being There,997,7.6,"Comedy, Drama",130.0,15.249,"United Artists, Lorimar Film Entertainment, BSB, CIP, NatWest Ventures, New Gold Entertainment, Northstar Media",PG
45.0,32.0,45.0,379000000.0,0,0,0,0,3,31,0,0,0,0,2011-05-15,2011,5,15,1,0,14,"United Kingdom,United States of America","English,Spanish",Johnny Depp,Penélope Cruz,Ian McShane,Rob Marshall,Ted Elliott,Terry Rossio,6.6,576863.0,Pirates of the Caribbean: On Stranger Tides,14142,6.556,"Adventure, Action, Fantasy",137.0,90.651,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company",PG-13
53.0,61.0,53.0,20000000.0,0,0,0,0,0,4,0,0,0,0,2014-10-15,2014,10,15,0,0,11,France,"Others,French,English",Omar Sy,Charlotte Gainsbourg,Tahar Rahim,Olivier Nakache,Éric Toledano,Olivier Nakache,6.7,17482.0,Samba,939,6.342,"Drama, Comedy",118.0,9.584,"Ten Films, Gaumont, Quad Productions",R
10.83012807216386,48.55153092885161,10.74971714687966,11316325.78683651,1,1,1,1,0,0,0,0,0,0,2020-02-19,2020,2,19,0,0,5,France,French,Franck Dubosc,Aure Atika,Alice David,Ludovic Bernard,Ariel Winograd,Mariano Vera,5.4,1290.0,10 Days with Dad,300,5.952,"Family, Comedy",104.0,7.569,"Soyouz Films, StudioCanal, Canal+, Ciné+",R
95.0,94.0,95.0,17000000.0,0,0,0,0,26,13,26,0,0,0,1964-10-21,1964,10,21,0,0,61,United States of America,English,Audrey Hepburn,Rex Harrison,Stanley Holloway,George Cukor,Alan Jay Lerner,George Bernard Shaw,7.7,103904.0,My Fair Lady,1319,7.5,"Music, Comedy, Romance, Drama",170.0,20.823,Warner Bros. Pictures,G
47.0,73.0,47.0,30000000.0,0,0,0,0,5,5,5,2,0,0,1988-06-29,1988,6,29,0,1,37,United States of America,English,Eddie Murphy,Paul Bates,Garcelle Beauvais,John Landis,Eddie Murphy,David Sheffield,7.1,229157.0,Coming to America,4397,6.9,"Comedy, Romance",117.0,40.463,"Eddie Murphy Productions, Paramount Pictures",R
74.0,87.0,74.0,130000000.0,0,0,0,0,15,39,15,1,0,0,2008-06-04,2008,6,4,0,1,17,United States of America,English,Jack Black,Ian McShane,Angelina Jolie,Mark Osborne,Jonathan Aibel,Glenn Berger,7.6,543578.0,Kung Fu Panda,11759,7.296,"Action, Adventure, Animation, Family, Comedy",90.0,78.937,DreamWorks Animation,PG
44.0,24.0,44.0,140000000.0,0,0,0,0,14,51,14,0,0,0,2001-05-21,2001,5,21,0,0,24,United States of America,"French,English,Others",Ben Affleck,Kate Beckinsale,Josh Hartnett,Michael Bay,Randall Wallace,Missing_data,6.2,359397.0,Pearl Harbor,6572,6.9,"War, History, Romance, Drama, Action",183.0,43.021,"Touchstone Pictures, Jerry Bruckheimer Films",PG-13
72.0,81.0,72.0,33000000.0,0,0,0,0,21,22,0,0,0,0,2008-12-12,2008,12,12,1,1,17,"United States of America,Germany",English,Clint Eastwood,Bee Vang,Christopher Carley,Clint Eastwood,Nick Schenk,Dave Johannson,8.1,827967.0,Gran Torino,10802,7.99,Drama,116.0,23.434,"Matten Productions, Double Nickel Entertainment, Gerber Pictures, Malpaso Productions, Village Roadshow Pictures, WV Films IV, Warner Bros. Pictures",R
79.0,96.0,79.0,115000000.0,0,0,0,0,15,38,15,0,0,0,2001-11-01,2001,11,1,0,1,24,United States of America,English,Billy Crystal,John Goodman,Mary Gibbs,Pete Docter,Pete Docter,Jill Culton,8.1,1017055.0,"Monsters, Inc.",18642,7.843,"Animation, Comedy, Family",92.0,117.839,Pixar,G
64.0,64.0,64.0,100000000.0,0,0,0,0,8,32,8,5,0,0,2006-12-08,2006,12,8,1,1,19,"Germany,United States of America","Others,English",Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Edward Zwick,Charles Leavitt,C. Gaby Mitchell,8.0,600904.0,Blood Diamond,7710,7.544,"Drama, Thriller, Action",143.0,39.416,"Virtual Studios, Spring Creek Pictures, Bedford Falls Productions, Initial Entertainment Group, Lonely Film Productions GmbH & Co. KG., Warner Bros. Pictures, Liberty Pictures",R
70.0,94.0,70.0,3556794.0190504584,0,0,0,1,0,3,0,0,0,1,1964-06-23,1964,6,23,0,1,61,"United Kingdom,United States of America","French,English",Peter Sellers,Elke Sommer,George Sanders,Blake Edwards,Blake Edwards,William Peter Blatty,7.3,31762.0,A Shot in the Dark,559,7.2,"Comedy, Mystery, Crime",102.0,10.437,"United Artists, The Mirisch Company",Approved
54.0,50.0,54.0,16426198.642658498,0,0,0,1,2,2,0,0,0,0,2013-09-19,2013,9,19,0,0,12,United States of America,English,Mark Ruffalo,Tim Robbins,Gwyneth Paltrow,Stuart Blumberg,Stuart Blumberg,Matt Winston,6.4,29810.0,Thanks for Sharing,550,5.9,"Comedy, Drama",112.0,9.628,"Olympus Pictures, Class 5 Films, Voltage Pictures",R
10.82989187567768,45.873259758885645,10.746239992603616,25000000.0,1,1,1,0,0,0,0,0,0,0,2023-04-04,2023,4,4,0,0,2,United States of America,"English,French",Dylan Sprouse,Virginia Gardner,Austin North,Roger Kumble,Roger Kumble,Jamie McGuire,5.3,15111.0,Beautiful Disaster,804,6.7,"Romance, Drama, Comedy",96.0,51.067,Voltage Pictures,R
64.0,67.0,64.0,12250000.0,0,0,0,0,3,19,0,0,0,0,2014-06-04,2014,6,4,0,1,11,Others,"Others,English",Guy Pearce,Robert Pattinson,Scoot McNairy,David Michôd,David Michôd,Joel Edgerton,6.4,52325.0,The Rover,948,6.3,"Crime, Drama",103.0,11.906,"Porchlight Films, Screen Australia, Screen NSW, Blue-Tongue Films, Lava Bear Films, South Australian Film Corporation",R
